STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,6/02/2022,0,5.6,9,-2.5,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,7/02/2022,6.6,4.7,9.2,,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,8/02/2022,0,3.5,12.4,-2.3,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,9/02/2022,0,4.6,14.2,-1.3,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,10/02/2022,0,5.7,11.5,-1,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,11/02/2022,9.4,5.1,9,,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,12/02/2022,0,1.2,7.6,-4.4,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,13/02/2022,0,5.7,14,-1.1,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,14/02/2022,0,3.9,7.4,1,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,15/02/2022,6.6,5,8,2,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,16/02/2022,0.8,8,13,2.8,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,17/02/2022,0.5,12.1,13.8,,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,18/02/2022,1.8,10.5,17,5.5,,,
,,,,,19/02/2022,,,10,,,,
,,,,,20/02/2022,,,11,,,,
,,,,,21/02/2022,,,7,,,,
,,,,,22/02/2022,,,10,,,,
,,,,,23/02/2022,,,12,,,,
,,,,,24/02/2022,,,13,,,,
,,,,,25/02/2022,,,7,,,,
,,,,,26/02/2022,,,7,,,,
,,,,,27/02/2022,,,10,,,,
,,,,,28/02/2022,,,10,,,,
,,,,,,,,10.27857143,,,,10.278
