STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,22/01/2022,0,0,,4.2,7,1.4,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,23/01/2022,0,0,,2.2,4.3,0,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,24/01/2022,0,0,,3.3,4.3,2.2,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,25/01/2022,0,0,,2.2,3,1.3,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,26/01/2022,0,0,,2.3,3.4,1.2,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,27/01/2022,0,0,,2.2,4.8,-0.4,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,28/01/2022,0,0,,2.9,8,-2.2,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,29/01/2022,6.4,0,,3.4,7,-0.2,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,30/01/2022,14,0,,6.1,7.6,4.6,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,31/01/2022,0,0,,5.4,7,3.7,,,
,,,,,,,,,,6.45483871,,,,6.455
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/02/2022,0,0,,2.9,6.1,-0.4,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/02/2022,0.3,0,,0.1,2,-1.8,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,3/02/2022,7.3,0,,3.9,5.9,1.8,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,4/02/2022,3.3,0,,6.2,8.6,3.8,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,5/02/2022,0,0,,5.7,7.5,3.9,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,6/02/2022,0,0,,3.5,7.4,-0.4,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,7/02/2022,0,0,,7.4,11.8,2.9,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,8/02/2022,2.9,0,,5.5,8,2.9,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,9/02/2022,0.9,0,,7.3,8.7,5.8,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,10/02/2022,0.2,0,,5.1,6.8,3.4,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,11/02/2022,0,0,,5.1,8,2.2,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,12/02/2022,0,0,,3.6,7.4,-0.2,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,13/02/2022,0,0,,4.4,9.6,-0.8,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,14/02/2022,3.5,0,,5.9,8.4,3.3,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,15/02/2022,0,0,,6.1,8.8,3.4,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,16/02/2022,0,0,,5.5,9.1,1.8,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,17/02/2022,0,0,,6.9,9.5,4.3,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,18/02/2022,0,0,,5.8,8.1,3.5,,,
,,,,,19/02/2022,,,,,8,,,,
,,,,,20/02/2022,,,,,8,,,,
,,,,,21/02/2022,,,,,6,,,,
,,,,,22/02/2022,,,,,2,,,,
,,,,,23/02/2022,,,,,2,,,,
,,,,,24/02/2022,,,,,4,,,,
,,,,,25/02/2022,,,,,6,,,,
,,,,,26/02/2022,,,,,7,,,,
,,,,,27/02/2022,,,,,8,,,,
,,,,,28/02/2022,,,,,8,,,,
,,,,,,,,,,7.167857143,,,,7.168
